Game,Score,Epsilon,Reward,Loss,Q_value
360.0,2,640.0,4.0,0.0,4.0
361.0,0,639.0,3.0,0.0,4.0
362.0,0,638.0,3.0,0.0,2.0
363.0,1,637.0,3.0,0.0,3.0
364.0,0,636.0,3.0,0.0,3.0
365.0,1,635.0,3.0,1.0,7.0
366.0,0,634.0,4.0,0.0,2.0
367.0,1,633.0,3.0,0.0,4.0
368.0,1,632.0,4.0,0.0,4.0
369.0,0,631.0,3.0,0.0,3.0
370.0,0,630.0,4.0,0.0,4.0
371.0,0,629.0,3.0,0.0,4.0
372.0,0,628.0,4.0,0.0,2.0
373.0,0,627.0,4.0,0.0,4.0
374.0,1,626.0,4.0,0.0,1.0
375.0,0,625.0,3.0,0.0,3.0
376.0,0,624.0,3.0,0.0,2.0
377.0,0,623.0,4.0,0.0,3.0
378.0,0,622.0,4.0,1.0,1.0
379.0,1,621.0,3.0,1.0,4.0
380.0,1,620.0,4.0,0.0,4.0
381.0,0,619.0,3.0,0.0,3.0
382.0,0,618.0,3.0,0.0,4.0
383.0,0,617.0,3.0,0.0,6.0
384.0,2,616.0,3.0,0.0,6.0
385.0,1,615.0,4.0,0.0,6.0
386.0,1,614.0,4.0,0.0,2.0
387.0,0,613.0,3.0,0.0,4.0
388.0,0,612.0,3.0,1.0,4.0
389.0,0,611.0,3.0,0.0,4.0
390.0,0,610.0,4.0,0.0,7.0
391.0,0,609.0,3.0,1.0,-1.0
392.0,1,608.0,3.0,0.0,2.0
393.0,1,607.0,4.0,0.0,4.0
394.0,1,606.0,3.0,0.0,6.0
395.0,0,605.0,3.0,1.0,6.0
396.0,0,604.0,3.0,0.0,5.0
397.0,1,603.0,4.0,1.0,3.0
398.0,2,602.0,4.0,0.0,2.0
399.0,0,601.0,4.0,0.0,3.0
400.0,1,600.0,4.0,0.0,3.0
401.0,1,599.0,4.0,0.0,4.0
402.0,0,598.0,4.0,0.0,4.0
403.0,0,597.0,3.0,0.0,3.0
404.0,0,596.0,4.0,0.0,4.0
405.0,0,595.0,3.0,1.0,10.0
406.0,0,594.0,4.0,0.0,1.0
407.0,1,593.0,3.0,1.0,6.0
408.0,0,592.0,4.0,0.0,5.0
409.0,1,591.0,3.0,0.0,3.0
410.0,0,590.0,3.0,1.0,3.0
411.0,1,589.0,3.0,1.0,3.0
412.0,0,588.0,3.0,0.0,3.0
413.0,0,587.0,3.0,0.0,4.0
414.0,1,586.0,3.0,0.0,3.0
415.0,1,585.0,3.0,0.0,3.0
416.0,0,584.0,3.0,0.0,2.0
417.0,1,583.0,4.0,0.0,2.0
418.0,0,582.0,3.0,0.0,3.0
419.0,0,581.0,3.0,1.0,-3.0
420.0,1,580.0,4.0,0.0,1.0
421.0,0,579.0,3.0,1.0,0.0
422.0,0,578.0,3.0,0.0,4.0
423.0,0,577.0,3.0,1.0,6.0
424.0,0,576.0,3.0,0.0,2.0
425.0,0,575.0,3.0,0.0,3.0
426.0,0,574.0,3.0,0.0,3.0
427.0,0,573.0,4.0,0.0,3.0
428.0,0,572.0,3.0,0.0,3.0
429.0,1,571.0,3.0,0.0,5.0
430.0,0,570.0,3.0,0.0,0.0
431.0,0,569.0,3.0,0.0,6.0
432.0,1,568.0,3.0,1.0,1.0
433.0,0,567.0,3.0,0.0,3.0
434.0,0,566.0,3.0,0.0,3.0
435.0,0,565.0,4.0,1.0,3.0
436.0,0,564.0,4.0,0.0,3.0
437.0,0,563.0,4.0,0.0,0.0
438.0,0,562.0,3.0,0.0,4.0
439.0,1,561.0,4.0,0.0,5.0
440.0,0,560.0,3.0,0.0,3.0
441.0,1,559.0,4.0,0.0,2.0
442.0,0,558.0,3.0,1.0,5.0
443.0,0,557.0,3.0,0.0,4.0
444.0,0,556.0,4.0,0.0,0.0
445.0,0,555.0,3.0,1.0,1.0
446.0,0,554.0,4.0,0.0,3.0
447.0,0,553.0,3.0,0.0,5.0
448.0,0,552.0,3.0,1.0,3.0
449.0,0,551.0,3.0,0.0,2.0
450.0,0,550.0,3.0,0.0,2.0
451.0,0,549.0,4.0,0.0,1.0
452.0,0,548.0,3.0,0.0,0.0
453.0,0,547.0,3.0,1.0,6.0
454.0,0,546.0,4.0,0.0,4.0
455.0,1,545.0,3.0,1.0,6.0
456.0,0,544.0,3.0,0.0,4.0
457.0,0,543.0,4.0,0.0,8.0
458.0,0,542.0,3.0,1.0,2.0
459.0,0,541.0,4.0,0.0,3.0
460.0,0,540.0,3.0,0.0,3.0
461.0,0,539.0,3.0,0.0,1.0
462.0,1,538.0,3.0,1.0,5.0
463.0,1,537.0,3.0,0.0,3.0
464.0,0,536.0,3.0,0.0,4.0
465.0,0,535.0,3.0,0.0,4.0
466.0,0,534.0,3.0,0.0,2.0
467.0,0,533.0,3.0,0.0,2.0
468.0,0,532.0,3.0,0.0,3.0
469.0,1,531.0,3.0,0.0,4.0
470.0,0,530.0,3.0,0.0,1.0
471.0,0,529.0,3.0,0.0,2.0
472.0,0,528.0,3.0,1.0,5.0
473.0,0,527.0,3.0,0.0,4.0
474.0,0,526.0,3.0,0.0,5.0
475.0,0,525.0,3.0,0.0,0.0
476.0,0,524.0,3.0,0.0,3.0
477.0,1,523.0,4.0,0.0,4.0
478.0,1,522.0,3.0,1.0,3.0
479.0,0,521.0,3.0,0.0,4.0
480.0,2,520.0,3.0,0.0,3.0
481.0,0,519.0,4.0,0.0,3.0
482.0,0,518.0,3.0,0.0,3.0
483.0,1,517.0,3.0,1.0,4.0
